Price,PriceTarget,MACD,TradePrice,trade_volume,b1,a1,bq1,aq1,Spread
270.18,270.16999999999996,0.0,0.0,0.0,270.17,270.19,0.5,19.41,0.01999999999998181
270.18,270.16999999999996,0.0,270.19,0.01,270.17,270.19,0.5,19.41,0.01999999999998181
270.18,270.16999999999996,0.0,270.15,7.69666479,270.17,270.19,0.5,19.41,0.01999999999998181
270.16999999999996,270.16999999999996,-0.00025606038392164866,270.15,7.69666479,270.15,270.19,98.36940569,0.26783,0.040000000000020464
270.16999999999996,270.16999999999996,-0.00033606640745392893,270.15,1.50193905,270.15,270.19,98.36940569,0.26783,0.040000000000020464
270.16999999999996,270.175,-0.00034538794220007713,270.19,3.69e-05,270.15,270.19,98.36940569,0.26783,0.040000000000020464
270.16999999999996,270.175,-0.0003235083543177564,270.19,3.69e-05,270.15,270.19,89.17080185,0.26779309999999995,0.040000000000020464
270.16999999999996,270.175,-0.0002876403325252955,270.18,0.1,270.15,270.19,89.17080185,0.26779309999999995,0.040000000000020464
270.16999999999996,270.175,-0.00024606744699796597,270.16,0.22512379999999999,270.15,270.19,89.17080185,0.26779309999999995,0.040000000000020464
270.16999999999996,270.175,-0.00020304547529619986,270.16,1.82739577,270.15,270.19,89.17080185,0.26779309999999995,0.040000000000020464
270.175,270.175,6.670910405659806e-05,270.16,1.82739577,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.175,270.175,0.0002400950098888726,270.16,3.75162562,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.175,270.175,0.0003469694373364735,270.16,2.34585481,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.175,270.175,0.00040749958687920097,270.15,0.93109788,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.175,270.185,0.00043563351898484777,270.19,0.01,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.175,270.185,0.00044120038454288006,270.19,0.2577931,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.175,270.185,0.0004312275993510105,270.2,4.7422069,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.175,270.185,0.0004107929288855477,270.2,14.999923999999998,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.175,270.185,0.00038359087475806194,270.19,0.01,270.16,270.19,6.09748043,0.26779309999999995,0.029999999999972715
270.185,270.185,0.0009299557400354162,270.19,0.01,270.18,270.19,29.99996836,9.7,0.009999999999990905
270.185,270.16999999999996,0.0012718650480025963,270.19,0.01,270.18,270.19,29.99996836,9.7,0.009999999999990905
270.185,270.16999999999996,0.0014612436460211846,270.18,29.99996836,270.18,270.19,29.99996836,9.7,0.009999999999990905
270.185,270.16999999999996,0.0015380493183300684,270.15,20.00003164,270.18,270.19,29.99996836,9.7,0.009999999999990905
270.185,270.16999999999996,0.0015330817581155453,270.19,0.01,270.18,270.19,29.99996836,9.7,0.009999999999990905
270.185,270.16999999999996,0.0014700787847540095,270.19,0.00369002,270.18,270.19,29.99996836,9.7,0.009999999999990905
270.16999999999996,270.16999999999996,0.0004266516087894272,270.19,0.00369002,270.15,270.19,68.23967233,9.67630998,0.040000000000020464
270.16999999999996,270.16999999999996,-0.00032454190722475465,270.19,9.67630998,270.15,270.19,68.23967233,9.67630998,0.040000000000020464
270.16999999999996,270.16999999999996,-0.000847644997491899,270.2,9.52034525,270.15,270.19,68.23967233,9.67630998,0.040000000000020464
270.16999999999996,270.16999999999996,-0.0011938799029483143,270.2,0.1,270.15,270.19,68.23967233,9.67630998,0.040000000000020464
270.16999999999996,270.185,-0.0014041297881107967,270.2,0.1,270.15,270.19,70.23967233,4.85,0.040000000000020464
270.16999999999996,270.185,-0.001510981348599044,270.15,0.17535395,270.15,270.19,70.23967233,4.85,0.040000000000020464
270.16999999999996,270.185,-0.0015403500556724359,270.19,0.01,270.15,270.19,70.23967233,4.85,0.040000000000020464
270.16999999999996,270.16999999999996,-0.0015127796864470972,270.18,0.02511051,270.15,270.19,70.23967233,4.85,0.040000000000020464
270.16999999999996,270.16999999999996,-0.0014444857322293775,270.19,0.01,270.15,270.19,70.23967233,4.85,0.040000000000020464
270.185,270.16999999999996,-0.0003406788049481809,270.19,0.01,270.18,270.19,30.160953000000003,4.83,0.009999999999990905
270.185,270.185,0.0004473408446103087,270.19,0.01,270.18,270.19,0.18609551,4.83,0.009999999999990905
270.185,270.185,0.000987839313298966,270.18,0.18609551,270.18,270.19,0.18609551,4.83,0.009999999999990905
270.16999999999996,270.185,0.00031429382922485886,270.18,0.18609551,270.15,270.19,66.08570911,4.83,0.040000000000020464
270.16999999999996,270.185,-0.0001695339595670282,270.15,3.97860927,270.15,270.19,66.08570911,4.83,0.040000000000020464
270.16999999999996,270.185,-0.0005042902207015416,270.18,5.0,270.15,270.19,66.08570911,4.83,0.040000000000020464
270.185,270.185,0.00031014173540724877,270.18,5.0,270.18,270.19,18.20052728,4.83,0.009999999999990905
270.185,270.185,0.0008734945781095777,270.18,5.0,270.18,270.19,18.38702007,4.83,0.009999999999990905
270.185,270.185,0.0012411558492138799,270.18,7.0,270.18,270.19,18.38702007,4.83,0.009999999999990905
270.185,270.185,0.0014579165581500573,270.18,7.0,270.18,270.19,21.41935036,4.83,0.009999999999990905
270.185,270.185,0.0015598631819943943,270.19,4.83,270.18,270.19,21.41935036,4.83,0.009999999999990905
270.185,270.185,0.0015759416716840666,270.2,5.17,270.18,270.19,21.41935036,4.83,0.009999999999990905
270.185,270.185,0.0015292502389188073,270.18,0.77477673,270.18,270.19,21.41935036,4.83,0.009999999999990905
270.185,270.185,0.0014381076430987376,270.18,0.77477673,270.18,270.19,10.61224334,2.43,0.009999999999990905
270.185,270.185,0.0013169355038549126,270.18,0.77477673,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.185,0.0011769864730374043,270.18,3.87822837,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.185,0.0010269446085523807,270.18,3.05629779,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.185,0.0008734197800552108,270.18,1.29069711,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.185,0.0007213542149114144,270.18,0.1,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.185,0.0005743562196554074,270.18,0.36497476,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.145,0.00043497356750801667,270.18,1.73555252,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.145,0.00030491693358541787,270.18,0.18649279,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.145,0.0001852420080832454,270.18,0.014976,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.145,7.649746453440554e-05,270.18,0.44880846,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.185,270.145,-2.1155253395885136e-05,270.18,4.55119154,270.18,270.19,15.62721934,2.43,0.009999999999990905
270.145,270.145,-0.0029527184599604144,270.18,4.55119154,270.11,270.18,1.3071416999999999,16.12702815,0.06999999999999318
270.145,270.145,-0.00494003921240516,270.18,2.20628752,270.11,270.18,1.3071416999999999,16.12702815,0.06999999999999318
270.145,270.145,-0.006192663247898999,270.18,7.27319261,270.11,270.18,1.3071416999999999,16.12702815,0.06999999999999318
